gene_name	DAY0_001	DAY0_002	DAY0_003	DAY0_004	DAY0_005	DAY2_001	DAY2_002	DAY2_003	DAY2_004	DAY2_005	DAY4_001	DAY4_002	DAY4_003	DAY4_004	DAY4_005	DAY6_001	DAY6_002	DAY6_003	DAY6_004	DAY6_005	DAY8_001	DAY8_002	DAY8_003	DAY8_004	DAY8_005
Hook2	0	0	0	0	17.58	0	0	9.1	5.37	0	20	0	0	1.83	0	0	0	0	2.69	0	0	0	0	0	2.07
1700017B05Rik	0	0	15.27	42.96	0	79.62	0.96	9.34	6.27	10.08	86.08	30.6	30.31	0.15	76.13	15.98	1.07	45.84	22.98	3.45	51.69	6.38	0.44	0.38	93.19
Bin1	13.79	23.4	100.39	0.47	0	6.11	0	0	0	0	0	0	0	0.01	0	2.73	0	0	7.42	0	0	0	0	5.07	0
Cd44	0.07	0.01	0	0	1.01	46.47	50.89	85.42	45.76	134.4	61.2	97.97	96.01	85.17	32.77	61.64	46.36	64.1	42.41	21.11	62.58	66.21	26.21	103.7	63.02
BC005561	21.65	12.15	0	15.69	44.19	4.17	0	2.42	0	0	0	0	0.59	21.06	0	0.56	0	0	0	0	0	9.35	0	0.54	0
Gfod1	0.6	0.8	7.89	0.16	0.94	0.87	0.37	0.22	0.4	0.52	0.44	0.95	0.85	11.92	0.81	9.79	0.87	0.43	0.59	4.21	0.44	0.29	0.39	23.9	0.39
Mndal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	187.42	19.53	0	0.55	0.64	27.52	147.58	0	0	1.09
Gpx3	12.63	110.98	106.19	1.81	4.93	10.66	0.92	0	30.4	20.57	13.01	3.12	0	0	7.31	0	0	0	21.2	0	0	0	0	0	0
Prkcd	0	0	0	0.01	6.96	0	8.73	15	18.85	3.08	3.07	3.95	83.38	5.87	15.09	27.44	1.05	0	4.57	39.65	34.12	22.67	48.35	23.83	93.74
Lrrc58	70.62	23.38	32.57	47.87	39.74	25.97	71.4	31.21	6.84	27.74	26.71	39.1	13.57	0.8	3.07	6.99	27.47	19.05	9.82	36.26	11.61	24.31	21	34.33	53.82
Bcap31	31.57	3.58	144.02	106.92	3.93	84.62	95.35	54.11	201.92	244.53	0	195.64	39.35	2.76	27.83	116.83	145.89	0	187.28	153.5	260.82	7.02	59.43	202.98	147.65
Gm11353	8.48	17.7	13.33	14.72	7.29	45.07	23.52	30.06	33.78	25.34	25.18	33.07	14.8	23.99	16.81	44.98	44.02	26.19	38.57	22.84	32.3	28.61	34.12	26.98	22.68
Ncapd2	57.66	76.11	12.04	134.72	0.02	5.15	64.25	123.27	65.18	55.34	0	0	46.83	174.81	0	2.09	36.86	0	2.85	182.12	59.35	17.99	1.48	48.76	0
Rpl14-ps1	9.42	21.8	18.83	8.99	11.56	59.14	35.94	32.02	44.72	33.41	18.45	18.46	8.69	11.08	24.14	45.19	39	27.5	47.53	46.14	13.46	30.71	21.7	23.16	21.57
Spag7	176.33	0	87.71	90.8	9.5	116.53	142.93	70.5	88.35	202.01	4.91	1.15	10.07	13.91	0	142.42	38.03	0.66	89.66	0	43.33	358.37	17.94	123.27	15.38
Pcna	65.61	417.32	136.59	267.34	94.81	321.67	601.66	325.93	271.71	229	278.09	44.82	142.17	474.83	42.79	1060.74	1051.71	474.71	530.07	338.02	434.4	32.12	123.41	486.88	317.02
Gapdh	1200.54	1762.67	1384.05	1855.08	956.42	3241.7	3761.27	1834	3410.6	2691.76	1522.78	738.85	605.69	780.34	559.59	2032.13	2290.27	1209.04	2573.93	3820.38	1333.34	1255.89	1464.87	814.01	734.95
Dvl2	0	6.3	0.22	1.95	0	13.09	0	0	5.93	0	7.76	0.26	0	0	0	42.81	0	0	0	0	10.41	0	5.43	17	0
Kank2	5.72	0	2.7	0	0.15	0.72	0.22	0.06	0.61	0.21	0	5.14	0	0	1.41	0	0.32	0	0	0	0.02	0	0	4.54	0
Csf1	0	0	0	0	30.2	0	2.84	29.93	3.22	0.47	27.49	110.27	5.56	10.53	71.85	0	0.66	13.92	0	0	0	0	0	0	0
Wdfy4	0	0	0	0	0.05	19.42	7.31	0	0	0.03	25.48	20.64	5.84	23.49	52.87	21.14	26.98	3.66	34.13	0	1.09	44.56	32.56	0.23	0
Tbrg1	201.38	9.75	49	7.03	20.14	116.61	37.12	75.63	220.17	90.39	81.85	49.38	39.46	13.88	0	143.49	110.55	0	141.34	103.39	0.5	37.66	1.14	61.34	2.93
Cltc	68.93	123.9	80.75	215.02	100.49	119.59	95.57	19.79	60.82	40.82	103.28	98.94	20.97	25.21	283.16	1.53	186.53	22.1	21.01	61.83	15.58	7.15	65.99	49.56	252.53
Tecpr1	64.06	43.9	17.13	5.81	18.64	0.25	5.26	0	0.81	3.94	0	0.3	0	0	0	0	0	0.1	39.42	0	0	0	0.63	0	0
Pnrc1	0	32.98	65.97	7.98	134.55	149.96	72.86	63.7	81.8	87.88	132.93	95.59	67.96	101.76	127.85	104.69	149.35	251.84	63.85	106.54	61.94	25.84	75.42	115.34	151.77
Myl6	309.13	379.64	170.15	159.34	310.72	496.51	512.81	314.5	398.14	526.88	223.81	309.46	354.22	128.37	217.79	101.23	138.4	63.12	32.86	138.26	174.69	305.03	179.85	78.59	287.54
Cnn3	260.55	462.51	338.61	200.53	212.53	170.79	257.96	322.83	134.14	140.01	138.57	24.52	218.31	70.38	329.41	86.95	178.26	228.29	140.78	137.95	12.18	0	4.31	77.94	92.51
Plod1	138.45	0	2.65	0	67.19	0.2	8.42	63.78	20.1	56.49	107.89	1.08	0.39	21.85	44.51	0	0	0	10.75	0	2.25	43.06	0	0	1.8
Plscr1	1.22	0	0	0	0	0.35	67.26	103	37.31	70.37	0	0	0.34	16.61	0.82	2.31	18.01	24.92	18.77	0.45	20.13	11.19	59.05	0	0
Micu2	0.07	0.12	23.21	5.92	0	11.09	21.35	8.97	27.17	14.37	28.35	23.35	1.67	19.92	0.08	16.95	16.64	7.95	7.86	16.91	2.28	11	0.03	0.77	0.51
Zeb2	3.43	0	0.2	2.04	7.14	0.2	7.84	8.41	11.38	2.36	18.67	5.56	8.28	4.65	25.12	14.2	16.45	1.87	0.12	6.14	0.46	65.72	20.2	0	0
Ten1	94.21	0	5.73	0	4.13	37.17	58.3	56.03	96.93	79.83	7.89	6.2	5.91	0	10.53	152.87	101.36	14.5	39.55	1.87	0	104.06	0	94.42	71.09
Oas1g	0	0	0	0	0	4.41	0	0	0	0	0	4.22	0.18	0	0	11.97	0	0.63	0	0.46	4.79	22.22	3.01	0	0
Ccnjl	3.46	0	144.73	6.56	3.4	16.91	2.16	0.01	4.35	0.06	0	0.1	0.33	0.02	0	0	0.01	1.11	0.12	0	0	0	0.38	0	0
Nod1	94.84	52.99	0.79	0	36.61	0	9.75	5.37	0	0	0	0	0	0	0	2.27	2.81	0.01	0	0	0	0	0	0	0
Gm15609	14.19	0.87	26.08	1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57	0	0
Hmha1	0	0.65	0	0	0	0.66	0.64	0	3.86	25.57	65.24	7.56	1.29	0	0	1.19	59.54	38.21	12.1	90.17	69.11	9.89	147.97	5.45	5.21
Tssc4	0	29.69	33.53	50.64	14.16	1.02	104.17	30.66	26.24	25.49	84.03	8.1	18.23	0	2.7	92.25	1.44	79.92	0.77	4.43	3.92	0	9.34	0	0
Trim33	2.88	8.4	0.28	16.46	0.97	4.36	19.38	14.93	14.97	16.58	16.06	4.71	8.39	41.9	54.36	3.27	14.44	0.87	4.04	11.45	11.28	0.05	0	0	43.77
Tmem216	11.55	16.27	0.38	13.67	25.55	15.59	73.35	19.17	17.32	61.71	27.4	18.4	13.34	8.67	12.74	4.96	4.35	11.02	8.19	0	18.12	3.63	25.34	4.17	0.09
Socs3	0	0	1.56	35.7	11.97	0	65.71	122.36	0.4	27.46	0	13.25	16.51	67	0	0	0	0	0	0	0	0	0	105.75	0
Sox11	184.51	49.64	3.96	48.07	0.18	0	0	0.07	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npl	0	0	0.02	8.86	0	0	0	0.37	0.13	0.01	0.88	4.25	0	0	0	31.35	30.16	10.47	0.01	1.28	29.07	3.49	5.74	4.96	0
Eif3k	144.74	161.38	63.37	211.97	242.32	580.31	319.27	454.59	284.56	438.48	214.98	110.43	72.24	24.67	220.15	140.15	225.8	105.41	244.39	168.5	72	10.58	15.31	245.32	86.51
Hmga1	204.1	334.42	91.99	94.74	7.44	1056.22	841.11	728.08	990.95	855.86	1092.76	1062.22	599.93	751.53	524.51	253.29	1073.79	533.77	1174.64	773	949.51	498.02	446.96	193.37	1347.13
Rad54l	13.89	0	26.83	26.95	0.34	7.78	6.02	4.63	2.38	26.45	53.47	12.1	14.67	9.76	0.17	33.23	22.3	1	3.76	8.37	3.18	0.82	0	0	17.81
RP24-142E6.3	0	0	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sepw1	5.51	17.72	34.6	30.52	71.72	137.41	263.17	164.8	116.89	152.19	67.83	14.89	43.05	5.28	2.71	18.12	27.9	138.9	83.4	21.36	83.39	37.93	7.7	15.06	92.5
Rps13-ps5	2.57	4.26	5.14	4.03	6.67	6.87	5.89	8.54	8.58	12.11	11.65	11.89	5.49	4.83	6.94	6.63	20.91	11.78	9.76	6.58	8.79	11.35	26.61	12.51	13.01
D2Wsu81e	0	6.02	0.7	0	0	1.35	13.72	36.16	6.35	12.39	22.46	0	36.69	0.5	0.52	57.93	4.6	0.29	0	37.91	58.13	0	4.42	0	11.01
Tnpo1	11.9	2.32	9.25	18.7	3.98	17.75	12.82	14.34	24.97	25.97	31.09	9.49	20.18	21.96	0.71	30.67	0.32	2.27	2.13	0.47	36.52	36.25	3.4	0.03	4.9
Rps12l1	2.66	0	5.41	7.57	0.56	10.92	15.96	15.67	19.54	19.21	7.02	6.55	6.86	3.1	3.97	21.44	15.65	19.12	17.09	23.54	3.97	4.17	13.25	13.36	10.5
Per1	0	0	6.02	0.05	0	22.52	2.51	13.47	5.85	18.46	8.31	13.19	18.58	24.19	1.18	0.46	3.2	75.17	0	13.01	0.79	22.89	25.58	7.48	15.07
Ndufs3	1.08	59.39	1.31	153.4	176.3	226.87	56.09	133.15	152.4	93.75	1.37	139.75	45.94	35.92	88.12	117.5	245.86	0.04	28.7	50.51	65.74	2.11	0	303.45	126.91
Calcrl	19.77	13.35	9.94	66.68	454.78	66.36	43.66	73.01	40.76	56.62	60.83	50.49	55.97	58.09	89.93	53.72	34.7	80.11	18.62	54.62	54.37	32.09	20.36	27.38	42.66
Lsm10	0	12.14	4.21	0	0	83.65	57.53	43.77	46.2	0	0	7.81	13.66	0	0	0	0	0	0	74.77	0	0	0	95.67	0
Map1b	18.34	0.7	4.78	1.56	0.63	0	0	0.43	0	2.67	0	0.25	0	2.82	0	0	0	0	0	0	0	0	0	0	0
Coprs	0	0	0	1.8	14.4	55.64	33.11	37.59	21.14	20.48	0	0	0	0	0	0	0	0	0	0	0	5.93	0	0	0
Slc12a2	24.23	85.49	5.95	0.16	0.16	26.32	6.27	80.33	18.75	4.56	50.55	74.84	50.61	43.25	12.22	0	12.37	0	30.6	1.17	26.62	21.7	48.95	15.84	67.98
Abce1	0.98	78.38	40.42	101.73	19.76	32.24	87.56	46.16	85.68	60.15	151.65	88.52	93.85	39.31	16.73	3.65	67.77	0	82.88	71.57	89.62	92.01	96.36	37.13	2.76
Dip2b	3.58	12.65	2.92	4.73	7.89	8.7	8.94	17.51	12.2	6.67	0.42	15.26	34.31	0.09	11.86	0	2.31	0.55	1	0.44	0.14	9.69	0.35	6.56	43.81
Gm15772	25.28	44.44	13.7	23.32	14.45	40.1	41.8	71.6	69.11	53.36	72.69	78.63	71.45	96.35	58.41	61.71	57.26	51.76	56.33	41.05	60.49	31.36	58.25	49.44	80.68
Rbbp8	0.71	2.35	0.98	46.16	129.22	80.94	34.56	31.37	33.5	15.97	69.69	20.5	28.88	0.23	121.29	15.18	140.7	100.7	14.35	89.41	0.57	1.32	21.37	40.8	2.45
Fosl2	26.4	0.11	14.8	1.9	0.26	9.14	4.65	12.83	1.06	37.23	14.48	12.94	24.95	6.55	9.79	0.35	0.33	0	7.62	4.27	24.02	13.77	12.85	48.13	1.15
Pex7	0	0	0	0	0	7.88	31.52	1.24	8.65	0	2.89	0	1.89	0	2.33	0	0	65.1	0	0.98	0.43	3.11	0	0	0
Cggbp1	76.65	4.11	6.04	5.59	98.94	20.44	45.88	60.05	86.61	57.95	137.9	39.09	63.34	85.93	12.07	99.53	41.34	99.42	48.67	75.64	187.21	0	22.85	80.55	85.88
H1f0	6.67	40.11	8.21	89.16	1.66	39.24	81	88.52	33.09	36.58	5.15	2.08	0.56	244.41	0.35	11.17	0	0	0	8.64	10.19	26.35	76.27	2.07	5.5
Rrbp1	563.85	242.08	306.01	184.92	304.03	43.78	125.03	141.76	57.68	141.62	0	343.8	4.87	48.98	65.14	27.28	0.45	0.96	169.67	178.57	79.93	0	0	7.62	106.31
Dock11	85.12	240.91	16.02	5.7	4.64	51.96	33.13	42.96	7.3	0.06	6	67.99	22.92	43.43	19.85	12.02	163.92	4.88	102.92	0	65.81	155.08	84.33	0.11	154.37
Irf9	0.17	0	0	25.88	0	4.02	0	17.4	26.01	6.69	3.45	0	2.47	16.35	1.02	0	0	0	0.14	139.35	9.6	238.56	0	0	0
Nfkbiz	0	1.05	2.67	0	2.29	3.13	29.13	54.43	0.03	10.85	112.7	4.31	34.95	48.39	11.69	55.71	129.6	11.01	7.13	2.32	74.69	6.91	40.27	57.82	0
Ncf2	4.18	0	0.01	0	0	78.41	166.57	11.56	6.25	4.19	90.38	48.83	58.95	66.35	60.22	63.78	57.83	40.93	147.99	41.73	4.3	71.37	12.27	125.76	158.24
2410006H16Rik	0	2.44	2.59	15.07	0	32.88	21.15	160.02	78.09	65.48	2.57	16.61	49.9	44.31	19.25	19.02	24.1	5.11	10.02	30.3	0	157.53	31.23	0	62.4
Rbm28	126.35	60.93	110.76	98.51	0	47.8	46.82	51.12	17.56	81.35	78.9	113.12	4.13	16.99	17.41	0.94	9.62	0	186.31	137.61	9.91	0	120	50.33	49.2
Stx8	0.15	0	0.63	0.14	0.35	54.64	61.54	111.16	14.23	22.45	0	0.11	37.67	0	0	0	9.39	0	0	2.4	0	107.34	85.6	0	0
St6gal1	0	0	0	0.62	150.36	1.23	9.74	5.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.48	4.22	0
Gnal	0.73	0.79	19.34	0.04	0	2.5	0.2	0.07	1.88	2.51	0.31	3.03	0.89	0.28	0.48	0.11	0.82	0.33	1.15	0.6	3.96	1.59	3	1.03	0
Aes	0	0	28.11	2.26	72.13	38.17	27.78	6.11	34.3	34.96	29.41	39.5	20.44	67.85	63.67	70.55	76.21	5	164.51	22.9	27.78	73.1	74.84	0	135.76
Gfi1	0	0	0	0	0	16.51	46.47	80.26	15.95	4.32	20.65	4.6	48.56	97.34	55.82	0	0	0	0.73	0	0	0	26.15	4.88	257.09
Ppp3cb	1.49	232.96	49.52	33.58	0.94	104.26	27.19	51.15	40.7	18.26	56.34	102.94	63.86	99.43	47.5	19.51	54.65	36.74	99	38.14	2.63	1.24	35.64	79.21	0.24
Ube2l6	0	0	0.45	0	0	0	0	0	9.61	0	0	0	0	0	0	0	0	0	0	0	0	64.62	2.67	32.35	0.01
Rpa3	0	0	0	0	0	0	9.6	17.47	21.78	15.47	0	9.27	16.38	0	24.69	24.49	32.07	3.59	46.66	18.42	0	0	19.74	0	23.46
mt-Nd6	1595.24	2096.16	819.77	700.02	1473.68	1358.48	1477.38	1404.64	1210.59	797.84	1682.85	2029.72	3482.76	1712.81	3376.19	5078.32	2321.24	3716.44	2837.22	5958.09	3032.92	2631.36	3922.69	2391.72	2122.38
Rpl21	61.56	302.91	146.24	170.36	161.54	620.67	685.64	734.86	882.04	630.85	317.38	537.71	286.74	261.65	439.2	485.66	407.23	538.83	498.69	301.93	466.95	371.26	558.96	361.02	873.71
Map2k6	0.21	1.16	168.15	0.32	12.49	0.43	38.86	23.57	62.06	39.07	8.43	0	0	1.26	0	0	49.77	0	57.72	0	130.78	14.55	0.63	6.48	0
Col15a1	49.19	21.74	55.05	0	0	0	0	5.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam114a2	23.48	9.7	43.04	38.61	100	11.22	117.57	75.35	13.83	63.84	66.95	50.41	0.25	1.49	5.25	0.01	109.85	32.14	11.82	0.5	149.71	11.21	0.33	0	57.34
Pcgf6	0	0	0	0	0	0	25.92	0.02	0.5	30.5	0.71	0	29.93	0	3.07	0	6.57	0	0	90.19	4.34	5.27	2.78	13.1	48.94
B2m	71.02	83.7	83.36	1.96	203.95	371.3	363.05	301.67	226.48	387.92	122.34	40.66	270.37	11.76	42.92	1300.14	1193.69	319.39	661.23	542.42	783.89	1442.76	607.4	1578.64	463.28
Lbr	96.38	121.1	33.51	82.36	0.98	86.26	25.5	74.56	68.2	120.28	136.05	8.64	119.08	68.5	250.53	188.3	95.4	22.49	82.89	48.67	45.29	99.28	4.33	5.59	145.31
Rpl10-ps6	26.91	30.83	22.93	28.16	14.17	42.47	43.48	34.06	37.06	47.7	47.22	41.68	29.45	77.2	14.8	60.11	45.72	37.27	40.53	25.36	19.99	61.48	35.15	24.25	30.72
Dok2	0	0	0	0.13	0	43.77	108.69	42.29	37.88	24.95	40.66	387.43	1.11	39.58	33.37	36.48	73.22	42.52	180.46	98.58	194.59	0.67	15.05	34.05	72.72
Hjurp	1.67	6.4	28.82	110.54	7.46	21.37	11.38	118.51	16.55	12.8	107.76	38.25	44.08	52.55	82.23	81.09	14.05	0.08	6.4	80.24	0.15	0.08	6.1	0	136.59
Cx3cl1	0	0	0	0	1.11	0	17.4	15.11	1.83	20.07	27.41	2.79	8.51	0	0	0	0	0	0	0	0	0	0	0	0.16
Runx1	0	0.11	0	0.04	0.21	29.61	28.04	41.88	75.34	34.23	29.31	61.79	205.48	93.29	59.24	22.22	48.94	100.64	112.86	53.55	106.58	9.84	5.11	83.66	54.76
Rpl17-ps8	2.49	9.22	2.35	2.52	1.52	9.99	9.91	35.39	10.03	10.63	9.41	5.93	6.17	5.29	11.53	12.28	7.8	4.07	7.48	8.76	4.79	8.87	6.65	3.89	10.2
Lyrm5	97.13	34.92	0	0	14.96	13.12	24.9	0	9.39	1.18	0	0	24.63	1.25	0	0	0	0	0	0	79.33	0	0	140.7	70.67
Cttnbp2nl	55.71	2.84	33.52	80.61	27.98	0.07	1.91	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-32A8.1	0	3.33	1.38	25.01	2.68	36.89	5.63	21.99	31.1	21.85	0	7.72	14.84	3.64	6.52	48.45	79.5	75.95	0	0	0.01	33.45	4.65	86.35	0
Angpt1	0	0	0.15	0	0	72.67	108.87	48.57	7.46	64.17	79.94	99.12	49.46	112.91	79.91	119.1	97.59	155.6	156	219.43	173.89	14.11	166.25	100.11	184.89
Cd151	0	108.7	131.39	15.68	36.82	11.66	45.25	35.4	22.04	41.56	26.73	0	7.06	21.64	81.79	0	13.8	0	4.7	0	0	0	0	0	0
Rps5	956.29	2051.59	1437.28	1316.65	794.66	4426.81	3314.44	3893.56	3539.14	3208.48	2254.57	1380.59	1506.24	1544.11	1197.25	2678.22	2727.75	2172.26	2316.71	2582.42	2166.49	2375.03	2750.83	1587.99	2927.59
Tuba1a	409.85	595.48	132.72	551.05	29.11	144.21	128.02	260.9	84.31	52.3	120.82	56.88	84.06	52.81	24.71	114.41	139.26	20.53	81.17	116.56	119.48	29.27	80.64	24.3	33.26
Mapk12	0.21	40.37	264.48	42.77	1.32	0	3.48	0.34	9.22	0	0.4	0	0	19.54	0	0	0	0	0	0	0	0	0	23.68	0
Gm12657	0.37	3.69	1.49	3.05	4.82	8.09	2.68	4.18	3.58	3.13	6.46	5.14	4.22	1.52	1.36	8.91	7.8	7.04	7.31	3.38	1.63	1.85	4.02	3.57	1.66
Naip6	0	0	1.02	0	0	0	1.51	3.37	1.87	2.25	1.08	10.24	9.48	0.08	17.67	5.36	4.13	16.49	0.06	0	1.63	19.03	0.4	26.48	0
Edrf1	0	0	0	23.73	0	11.54	18.45	0	0.57	13.65	0	0	0	0	0	0	1.29	0	96.45	0	0	23.1	7.7	1.94	0
Impdh2	50.88	108.03	219.08	138.71	28.21	515.45	577.85	404.3	410.44	379.85	70.92	204.89	136.75	87.13	181.64	486.11	529.59	134	268.27	294.66	403.64	112.57	490.77	240.85	24.78
Tmed5	32.43	63.77	43.61	54.61	36.4	60.51	38.6	54.77	33.54	39.22	82.12	54	87.21	49.88	149.13	207.11	59.9	47.35	107.76	202.75	32.51	156.41	15.03	19.18	222.57
Foxc1	0	18.06	16.21	0.55	94.29	0	0	10.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sla2	0	9.88	0	0	0	73.43	10.55	13.21	32.1	20.5	19.38	8.01	26.6	8.06	14.66	0	12.38	58.72	5.71	5.3	32.77	4.64	79.5	0	0.21
Camsap2	64.38	0.12	78.91	27.81	0.85	0	19.2	0	0.07	9.11	0.28	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0
Fkbp14	63.24	7.96	85.96	0	0	0	1.83	0	0	0	0	0	0	0	0	0	0	0	72.84	0	0	0	0	0	0
Epb4.1	45.84	13.37	0.84	3.6	2.21	31.33	58.04	44.85	86.18	119.85	239.3	167.77	116.46	81.91	128.57	15.34	107.79	98.19	57.75	123.94	141.87	60.6	207.84	0.37	24.96
Gyg	19.4	25.82	2.5	77.62	0	219.95	90.67	29.56	41.64	43.62	233.12	0	82.61	0	0	55.91	184.75	481.88	94.89	368.47	0	0.73	121.41	23.8	163.06
Plekhm1	0	0	0	2.94	62.4	0	2.85	1.41	6	1.43	0	0	0	0	0.35	0.05	0	30.07	0.26	0	0	0	0	0	14.79
Rnf13	0	62.8	85.4	0.5	0.2	0	44.34	1.03	9.83	5.64	0	4.39	0	15.56	0	101.85	0.15	0.16	97.11	19.43	0	0	1.68	0.44	21.37
Acot11	0	0	0	0	0	4.29	3.87	5.77	9.81	0.48	0	9.76	2.04	3.31	5.71	22.83	27.05	0	0	17.95	0.4	1.18	0	0.3	0
Gm13680	15.5	22.85	11.26	8.78	15.06	27.37	19.69	31.01	25.88	26.49	15.51	20.7	16.95	8.93	10.2	35.73	59.95	24.77	21.24	23.66	15.94	29.68	26.19	16.34	28
Antxr2	0.07	20.05	0.6	22.81	0.01	0	0	5.69	0	5.13	43.92	0	8.1	0	0	0.01	44.07	0.99	0	0	0	0	0	0.01	0.1
Cdr2	66.26	29.74	0.27	72.23	0	0	0	38.71	0	0	8.37	0	0	0	53.81	0	0	0	0	0	0	0	0	0	0
Crip2	415.26	84.38	63.53	98.36	39.93	0	138.19	31.75	0.26	79.55	0	0	0	3.41	0	0	0	0	0	0	0	0	0	0	0
Irak3	0	0	0	0	0	47.42	51.16	0.21	26.86	60.97	0.7	18.18	81.6	32.16	135.59	0.9	41.32	19.24	0	21.97	37.75	4.68	0	0	0
Dlc1	16.42	4.62	11.25	22.26	0.08	0	3.48	0.33	1.48	0	0	0	0	7.45	0	0	0	0	0	0	0	0	0	0	0
Ppp6r3	25.46	0.27	12.52	43.01	62.64	121.97	63.44	47.45	22.77	39.67	85.53	0.32	87.83	70.95	54.64	0.36	7.89	44.97	77.75	24.48	0.69	0.16	71.25	19.99	20.56
Gmfg	0	1.62	10.38	0	0	138.91	80.02	0	60.58	107.64	0	91.37	28.47	2.57	59.88	46.47	85.96	31.72	229.46	254.94	151.9	168.71	171.41	76.56	129.46
Arhgef6	0	0	0	0	0	112.82	0	0	0	0	9.71	40.07	13.12	0	239.45	12.05	110.84	148.3	89.46	208.59	0.55	345.02	180.99	614.11	309.13
Arhgap5	0.5	0	2.43	2.91	32.94	0	0	0.84	0.63	1.46	0	0	0	0	0.15	0	0	23.37	0.47	0	0	2.15	0	0	43.24
Stau2	0	0	0	48.01	0	71.07	35.02	51.59	9.11	0.17	58.3	87.4	0	103.82	1.09	0.1	83.15	1.47	35.11	0.33	89.32	81.09	104.22	0.27	0
Actb	112	401.37	382.57	213.06	388.98	263.94	234.79	238.45	221.7	315.37	107.98	109.62	184.87	147.98	313	258.97	272.5	30.06	127.64	222.03	289.68	26.15	46.77	143.48	125.15
Rps13-ps4	2.83	63.95	5.14	4.03	7.02	6.87	4.78	8.94	7.91	13.35	12.52	11.89	5.49	4.83	6.94	6.63	21.59	11.78	9.85	7.14	9.46	12.86	27.09	12.51	12.03
