gene_id	length	G10d1	G10d2	G15d1	G15d2	G5d1	G5d2	M10d1	M10d2	M15d1	M15d2	M5d1	M5d2
ENSG00000272449	996	33	11	33	18	38	2	81	40	49	53	19	14
ENSG00000238164	6137	140	42	306	161	125	25	109	69	116	98	62	38
ENSG00000157873	6219	1713	706	2531	1203	1903	374	8301	4293	4347	3825	898	454
ENSG00000225931	1297	2	2	4	4	6	0	12	6	7	2	3	2
ENSG00000228037	626	2	1	5	0	2	5	3	3	4	2	0	1
ENSG00000157870	3371	293	105	249	104	880	174	639	389	401	378	409	225
ENSG00000142606	3844	1	1	4	3	2	1	4	1	2	2	1	1
ENSG00000237058	373	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	7257	26	6	29	11	34	5	46	11	35	34	17	12
ENSG00000233234	607	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	429	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	1421	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	5600	4	3	5	4	29	11	3	4	11	8	16	9
ENSG00000142611	9767	10	4	7	6	94	16	8	3	26	24	48	20
ENSG00000226286	469	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000279839	2677	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	3461	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000130762	5563	11	2	2	1	27	2	5	1	5	5	13	7
ENSG00000272088	382	0	0	1	1	6	0	0	0	0	0	0	1
ENSG00000162591	7039	1264	565	981	422	1717	303	849	426	715	581	681	330
ENSG00000207776	96	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	622	7	0	12	5	14	4	4	4	4	7	6	1
ENSG00000158109	2414	667	318	999	539	1146	248	772	466	535	445	573	307
ENSG00000116213	7604	760	332	794	386	1484	288	784	477	443	413	774	401
ENSG00000078900	6763	1	6	5	3	8	2	4	4	5	1	6	0
ENSG00000227589	754	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131	351	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000227372	7205	567	248	372	205	1533	310	718	416	425	439	672	352
ENSG00000276189	161	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	2318	0	0	0	1	1	0	0	0	1	0	0	0
ENSG00000235169	954	13	1	17	3	47	7	24	12	19	13	25	12
ENSG00000130764	4516	1292	535	940	467	3199	637	1165	657	830	707	1698	904
ENSG00000266075	297	2	0	2	3	10	1	8	1	1	1	5	1
ENSG00000272153	531	53	25	39	18	93	25	36	18	27	35	48	13
ENSG00000116198	7876	673	317	667	354	1334	315	899	497	502	466	779	415
ENSG00000169598	3870	459	238	347	181	1272	247	387	231	268	234	617	328
ENSG00000198912	4388	749	324	575	315	1757	420	560	317	410	385	843	464
ENSG00000236423	4064	38	18	38	14	43	6	29	14	18	24	17	11
ENSG00000233304	3894	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000226374	1852	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	2104	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	356	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	1994	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	12405	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000231510	449	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	1697	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	73	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	363	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	70	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	13167	631	280	489	259	1221	270	520	268	301	255	532	296
ENSG00000069424	9534	14626	6223	14140	7001	29165	5900	13046	6629	8205	6946	14101	7058
ENSG00000116254	9890	51	21	21	7	206	42	28	14	26	21	124	43
ENSG00000116251	4900	21282	9694	14559	7511	38459	8433	18547	10332	13734	12560	19010	10190
ENSG00000226944	378	1	1	0	0	1	1	1	0	1	2	0	0
ENSG00000158286	6585	17	10	25	10	63	13	13	15	34	24	25	14
ENSG00000116237	4910	2167	1016	1768	891	6079	1326	1280	823	1130	1050	3494	1871
ENSG00000225077	1685	2	2	2	1	14	1	2	1	1	1	3	2
ENSG00000173673	697	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	4082	34	22	22	15	146	28	23	14	22	14	46	21
ENSG00000097021	4124	666	300	346	182	3011	569	486	227	322	266	1709	902
ENSG00000271746	837	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	5407	0	0	0	0	8	3	1	1	0	2	3	1
ENSG00000187017	4651	0	0	2	0	5	2	2	0	0	0	1	0
ENSG00000265392	63	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	351	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	3918	32	10	16	8	145	33	12	6	6	4	74	31
ENSG00000171680	6920	36	11	60	44	21	3	3	1	4	3	3	2
ENSG00000162408	7293	590	272	561	268	1553	315	404	246	376	329	957	482
ENSG00000253022	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	401	3	5	3	2	7	3	4	4	6	6	6	3
ENSG00000173662	2892	1	2	3	1	0	0	1	0	0	0	6	0
ENSG00000204859	4503	1180	527	1092	576	2267	499	1190	693	797	727	1038	543
ENSG00000162413	6901	1010	434	1221	591	2282	470	1170	609	843	798	1125	597
ENSG00000116273	3681	393	176	427	237	998	229	329	175	239	259	540	229
ENSG00000041988	4072	254	115	214	110	621	121	318	176	178	188	340	178
ENSG00000007923	5083	1195	530	715	411	3481	783	764	437	528	535	1660	940
ENSG00000228750	2188	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	415	7	5	11	4	14	3	12	6	8	6	8	0
ENSG00000171735	10033	409	182	334	194	1065	251	441	231	326	300	591	323
ENSG00000227950	286	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237365	349	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000207056	165	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	365	0	0	0	0	2	0	0	0	2	0	0	0
ENSG00000237728	744	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126	361	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000270171	1721	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	570	0	0	0	0	1	0	2	0	0	1	1	0
ENSG00000269978	267	0	0	0	0	2	1	0	1	0	1	0	0
ENSG00000049245	2760	1204	587	1202	661	2213	496	1210	717	1061	1023	1218	672
ENSG00000269925	393	15	15	11	5	47	8	28	13	8	14	22	9
ENSG00000049246	8099	98	72	86	57	270	62	411	218	239	239	166	76
ENSG00000236266	830	3	1	3	0	8	0	7	4	8	4	4	0
ENSG00000049247	1791	99	33	96	67	190	44	217	114	129	108	104	42
ENSG00000049249	6331	28	10	89	54	86	12	18	8	12	14	43	25
ENSG00000270330	355	0	0	2	2	0	1	1	0	1	0	0	0
ENSG00000116288	2397	4482	2240	3239	1797	11306	2517	3275	1907	2302	2155	5800	3112
ENSG00000200344	103	2	3	4	0	5	0	3	1	2	1	5	1
ENSG00000116285	4186	5	2	7	4	15	5	21	18	13	14	11	6
ENSG00000238290	2044	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232848	800	2	3	0	1	1	3	1	1	0	0	3	0
ENSG00000229305	1075	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634	950	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200975	164	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	477	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	2888	0	0	0	0	1	0	1	2	1	0	0	0
ENSG00000252254	113	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599	11503	1842	816	2527	1223	3702	787	2573	1448	1548	1382	1744	958
ENSG00000232912	702	13	5	23	11	4	0	19	9	15	5	4	3
ENSG00000221083	125	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000270282	369	0	0	0	0	1	0	1	0	1	0	0	0
ENSG00000234619	658	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000224315	703	1	0	0	0	0	0	0	0	0	0	0	2
ENSG00000222511	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545	415	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000228423	353	0	0	0	1	1	1	3	0	0	0	1	0
ENSG00000229716	369	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	3958	56521	27025	40673	21208	137995	30765	30703	17739	22787	21472	69819	38021
ENSG00000274258	89	4	0	1	0	8	1	1	0	0	1	1	0
ENSG00000230679	456	3	3	6	6	7	0	0	0	1	1	9	3
ENSG00000201725	107	1	1	0	0	1	0	2	0	0	0	0	0
ENSG00000238249	743	0	1	0	0	5	0	0	0	0	0	0	0
ENSG00000232208	352	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000232663	163	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	2662	0	1	3	0	3	0	2	1	1	1	0	0
ENSG00000265141	299	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	1539	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000142583	6693	3984	1936	4072	2198	5070	1125	1361	707	1636	1547	1367	717
ENSG00000252404	184	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000180758	5372	199	79	179	103	225	37	89	37	84	87	105	60
ENSG00000228526	4571	196	96	281	155	94	27	120	71	163	162	32	15
ENSG00000234546	1662	1	3	7	3	3	2	1	0	4	3	0	0
ENSG00000049239	9321	3664	1608	6274	3047	4127	849	1786	925	1599	1318	1475	796
ENSG00000171621	3403	39	14	55	24	90	22	40	23	62	53	35	27
ENSG00000252956	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	708	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	3854	354	141	302	145	926	186	207	128	170	176	650	293
ENSG00000231181	559	17	11	9	6	31	9	7	7	8	4	12	5
ENSG00000188807	6966	689	313	437	215	2466	487	425	209	327	289	1198	605
ENSG00000171608	6332	5432	2445	7392	3720	10305	2218	6226	3379	3713	3313	5954	3174
ENSG00000179840	1823	43	14	45	20	89	16	24	12	26	29	39	17
ENSG00000233268	421	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000231789	939	7	8	3	0	53	14	14	9	6	2	25	15
ENSG00000171603	5559	1906	934	1225	607	5931	1309	3021	1760	1691	1541	2987	1553
ENSG00000271264	246	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000280113	649	0	0	2	0	0	0	1	0	0	0	1	0
ENSG00000178585	3339	590	239	408	228	1146	233	708	365	438	393	606	302
ENSG00000223989	424	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	2794	531	240	534	274	1101	250	413	267	332	324	680	352
ENSG00000228150	440	2	3	11	2	5	1	2	6	4	1	3	4
ENSG00000173614	4610	206	111	246	144	428	77	352	205	184	196	214	104
ENSG00000202415	319	5	6	4	0	8	2	5	3	3	0	3	1
ENSG00000265521	78	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	436	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	861	4	2	37	28	5	2	22	7	12	9	7	0
ENSG00000130939	9128	1362	583	1293	624	3713	757	1635	876	854	797	1864	946
ENSG00000224340	337	0	0	2	1	4	1	0	0	1	0	3	0
ENSG00000233623	680	2	0	0	2	2	1	1	0	2	1	1	0
ENSG00000201746	107	1	1	2	0	0	0	2	1	2	1	0	0
ENSG00000054523	17720	1044	472	1398	660	1810	413	959	576	704	660	901	429
ENSG00000264881	86	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000199562	107	0	0	0	0	1	1	0	1	0	0	2	0
ENSG00000264501	293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142657	2966	15529	7176	22400	12016	21035	4462	10123	5962	6981	6627	9454	4961
ENSG00000271989	797	0	0	0	0	3	0	1	0	0	0	2	3
ENSG00000251503	2244	1	0	0	0	4	2	1	0	0	0	0	0
ENSG00000175279	1739	24	13	16	2	55	14	16	7	15	19	33	14
ENSG00000241563	1130	6	3	3	2	6	2	6	2	4	3	11	3
ENSG00000160049	6622	954	455	635	292	2545	503	783	441	509	462	1411	740
ENSG00000203469	467	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	2995	469	248	338	202	1329	285	440	254	296	255	635	338
ENSG00000243267	280	1	1	0	0	4	0	0	0	2	0	1	2
ENSG00000130940	11336	49	24	66	36	115	28	23	11	14	16	50	21
ENSG00000272078	7923	4	1	6	7	9	3	1	1	1	2	0	1
ENSG00000225158	238	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	3573	69	38	63	33	47	11	301	142	147	130	37	23
ENSG00000215785	494	3	1	0	0	5	0	2	0	1	1	0	1
ENSG00000120948	6071	2984	1378	2202	1084	7563	1623	2431	1469	1748	1639	4088	2111
ENSG00000277726	2205	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	4251	72	38	65	40	120	21	112	67	61	69	56	31
ENSG00000271895	870	44	28	56	31	47	13	62	31	48	60	27	21
ENSG00000116649	1898	1868	846	893	439	5791	1267	759	399	734	685	2871	1465
ENSG00000171824	6003	1869	874	1401	756	4697	1031	1422	827	943	830	2451	1390
ENSG00000226849	2682	5	5	14	5	20	7	7	5	4	2	10	6
ENSG00000230337	536	10	1	5	0	16	2	5	2	2	0	6	4
ENSG00000198793	12119	2821	1307	2368	1193	6794	1459	2082	1273	1283	1247	3336	1698
ENSG00000225602	763	2	0	0	0	0	1	1	1	0	0	1	3
ENSG00000253086	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171819	2238	1	0	0	0	0	0	0	0	0	2	2	0
ENSG00000207451	107	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000238173	150	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120942	5082	603	232	394	201	1758	373	342	185	336	284	858	507
ENSG00000238199	437	1	2	3	0	4	3	4	2	1	2	2	0
ENSG00000224338	565	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	6142	2	1	2	1	15	1	1	1	2	0	2	2
ENSG00000235643	1285	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116661	2333	11	6	14	6	10	1	23	11	32	21	19	7
ENSG00000132879	3527	242	114	165	76	328	67	453	240	248	259	172	118
ENSG00000116663	1811	477	250	421	214	748	180	247	159	167	134	388	188
ENSG00000116670	3324	1229	582	972	518	2522	553	742	422	498	481	1129	616
ENSG00000162490	7346	15	16	25	9	31	6	7	5	4	3	13	11
ENSG00000177674	2435	2245	991	3570	1763	2512	557	1509	791	1098	1035	1082	567
ENSG00000215910	6499	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000177553	1868	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177000	10214	1022	479	845	474	1818	377	1918	1046	970	901	848	450
ENSG00000011021	6938	1380	622	1097	556	2167	431	1613	839	774	671	919	516
ENSG00000276470	173	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278852	149	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175206	1120	24	6	14	8	31	12	14	6	8	10	15	6
ENSG00000275915	108	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120937	694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224904	2637	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000199347	120	1	0	1	0	4	0	1	10	0	2	1	2
ENSG00000201801	120	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116685	3281	1892	736	1795	888	3982	833	1828	948	1147	1013	2030	1026
ENSG00000083444	5320	1911	882	1799	942	4034	846	2395	1387	1252	1097	2069	1094
ENSG00000116688	4973	2848	1393	3109	1747	6879	1531	2092	1190	1296	1157	3498	1898
ENSG00000270914	93	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000116691	2821	1257	626	1641	831	2090	418	921	463	606	515	1153	563
ENSG00000202461	113	7	5	8	8	11	2	5	1	2	4	6	3
ENSG00000276869	65	0	0	0	0	0	0	0	0	0	0	0	0
