sample_name	sample	stage	embryo
SI_25w_embryo1_89_V	SI	25w	embryo1
SI_7w_embryo1_24	SI	7w	embryo1
SI_7w_embryo2.2_73	SI	7w	embryo2
SI_8w_embryo1_1	SI	8w	embryo1
SI_8w_embryo1_17	SI	8w	embryo1
SI_8w_embryo1_21	SI	8w	embryo1
SI_8w_embryo1_44	SI	8w	embryo1
SI_8w_embryo1_46	SI	8w	embryo1
SI_11w_embryo1_27	SI	11w	embryo1
SI_11w_embryo1_39	SI	11w	embryo1
SI_19w_embryo1_39	SI	19w	embryo1
SI_19w_embryo1_8	SI	19w	embryo1
SI_21w_embryo1_1_V	SI	21w	embryo1
SI_21w_embryo1_17_V	SI	21w	embryo1
SI_21w_embryo1_18_V	SI	21w	embryo1
SI_21w_embryo1_19_V	SI	21w	embryo1
SI_21w_embryo1_2_V	SI	21w	embryo1
SI_21w_embryo1_21_V	SI	21w	embryo1
SI_21w_embryo1_22_V	SI	21w	embryo1
SI_21w_embryo1_25_V	SI	21w	embryo1
SI_21w_embryo1_26_V	SI	21w	embryo1
SI_21w_embryo1_27_V	SI	21w	embryo1
SI_21w_embryo1_28_V	SI	21w	embryo1
SI_21w_embryo1_29_V	SI	21w	embryo1
SI_21w_embryo1_3_V	SI	21w	embryo1
SI_21w_embryo1_30_V	SI	21w	embryo1
SI_21w_embryo1_31_V	SI	21w	embryo1
SI_21w_embryo1_32_V	SI	21w	embryo1
SI_21w_embryo1_33_V	SI	21w	embryo1
SI_21w_embryo1_35_V	SI	21w	embryo1
SI_21w_embryo1_36_V	SI	21w	embryo1
SI_21w_embryo1_37_V	SI	21w	embryo1
SI_21w_embryo1_39_V	SI	21w	embryo1
SI_21w_embryo1_4_V	SI	21w	embryo1
SI_21w_embryo1_40_V	SI	21w	embryo1
SI_21w_embryo1_41_V	SI	21w	embryo1
SI_21w_embryo1_42_V	SI	21w	embryo1
SI_21w_embryo1_43_V	SI	21w	embryo1
SI_21w_embryo1_45_V	SI	21w	embryo1
SI_21w_embryo1_47_V	SI	21w	embryo1
SI_21w_embryo1_48_V	SI	21w	embryo1
SI_21w_embryo1_49_V	SI	21w	embryo1
SI_21w_embryo1_5_V	SI	21w	embryo1
SI_21w_embryo1_50_V	SI	21w	embryo1
SI_21w_embryo1_6_V	SI	21w	embryo1
SI_21w_embryo1_7_V	SI	21w	embryo1
SI_21w_embryo2_62_V	SI	21w	embryo2
SI_21w_embryo2_63_V	SI	21w	embryo2
SI_21w_embryo2_64_V	SI	21w	embryo2
SI_21w_embryo2_65_V	SI	21w	embryo2
SI_21w_embryo2_68_V	SI	21w	embryo2
SI_21w_embryo2_69_V	SI	21w	embryo2
SI_21w_embryo2_70_V	SI	21w	embryo2
SI_21w_embryo2_74_V	SI	21w	embryo2
SI_21w_embryo2_89_V	SI	21w	embryo2
SI_25w_embryo1_28	SI	25w	embryo1
SI_25w_embryo1_32	SI	25w	embryo1
SI_11w_embryo1_11	SI	11w	embryo1
SI_11w_embryo1_12	SI	11w	embryo1
SI_11w_embryo1_14	SI	11w	embryo1
SI_11w_embryo1_17	SI	11w	embryo1
SI_11w_embryo1_19	SI	11w	embryo1
SI_11w_embryo1_20	SI	11w	embryo1
SI_11w_embryo1_21	SI	11w	embryo1
SI_11w_embryo1_24	SI	11w	embryo1
SI_11w_embryo1_25	SI	11w	embryo1
SI_11w_embryo1_30	SI	11w	embryo1
SI_11w_embryo1_31	SI	11w	embryo1
SI_11w_embryo1_33	SI	11w	embryo1
SI_11w_embryo1_35	SI	11w	embryo1
SI_11w_embryo1_38	SI	11w	embryo1
SI_11w_embryo1_6	SI	11w	embryo1
SI_11w_embryo1_8	SI	11w	embryo1
SI_11w_embryo1_9	SI	11w	embryo1
SI_16w_embryo1_11	SI	16w	embryo1
SI_16w_embryo1_13	SI	16w	embryo1
SI_16w_embryo1_19	SI	16w	embryo1
SI_16w_embryo1_20	SI	16w	embryo1
SI_16w_embryo1_28	SI	16w	embryo1
SI_16w_embryo1_30	SI	16w	embryo1
SI_16w_embryo1_31	SI	16w	embryo1
SI_16w_embryo1_32	SI	16w	embryo1
SI_16w_embryo1_37	SI	16w	embryo1
SI_16w_embryo1_38	SI	16w	embryo1
SI_19w_embryo1_12	SI	19w	embryo1
SI_19w_embryo1_18	SI	19w	embryo1
SI_19w_embryo1_21	SI	19w	embryo1
SI_19w_embryo1_22	SI	19w	embryo1
SI_19w_embryo1_25	SI	19w	embryo1
SI_19w_embryo1_35	SI	19w	embryo1
SI_19w_embryo1_36	SI	19w	embryo1
SI_19w_embryo1_4	SI	19w	embryo1
SI_19w_embryo1_40	SI	19w	embryo1
SI_19w_embryo1_9	SI	19w	embryo1
SI_21w_embryo1_20_V	SI	21w	embryo1
SI_21w_embryo1_33	SI	21w	embryo1
SI_21w_embryo1_8_V	SI	21w	embryo1
SI_21w_embryo2_51_V	SI	21w	embryo2
SI_21w_embryo2_57_V	SI	21w	embryo2
SI_21w_embryo2_58	SI	21w	embryo2
SI_21w_embryo2_58_V	SI	21w	embryo2
SI_21w_embryo2_61_V	SI	21w	embryo2
SI_21w_embryo2_75_V	SI	21w	embryo2
SI_21w_embryo2_77_V	SI	21w	embryo2
SI_21w_embryo2_78_V	SI	21w	embryo2
SI_21w_embryo2_79_V	SI	21w	embryo2
SI_21w_embryo2_81_V	SI	21w	embryo2
SI_21w_embryo2_82_V	SI	21w	embryo2
SI_21w_embryo2_87_V	SI	21w	embryo2
SI_24w_embryo1.2_57	SI	24w	embryo1
SI_24w_embryo1.2_64	SI	24w	embryo1
SI_24w_embryo1.2_73	SI	24w	embryo1
SI_24w_embryo1.2_86	SI	24w	embryo1
SI_24w_embryo1_1_V	SI	24w	embryo1
SI_24w_embryo1_11	SI	24w	embryo1
SI_24w_embryo1_2_V	SI	24w	embryo1
SI_24w_embryo1_26	SI	24w	embryo1
SI_24w_embryo1_28_V	SI	24w	embryo1
SI_24w_embryo1_3_V	SI	24w	embryo1
SI_24w_embryo1_30_V	SI	24w	embryo1
SI_24w_embryo1_33_V	SI	24w	embryo1
SI_24w_embryo1_35_V	SI	24w	embryo1
SI_24w_embryo1_43	SI	24w	embryo1
SI_24w_embryo1_43_V	SI	24w	embryo1
SI_24w_embryo1_44_V	SI	24w	embryo1
SI_24w_embryo1_47	SI	24w	embryo1
SI_24w_embryo1_47_V	SI	24w	embryo1
SI_24w_embryo1_48	SI	24w	embryo1
SI_24w_embryo1_49_V	SI	24w	embryo1
SI_24w_embryo1_5_V	SI	24w	embryo1
SI_24w_embryo1_50	SI	24w	embryo1
SI_24w_embryo1_50_V	SI	24w	embryo1
SI_24w_embryo1_53	SI	24w	embryo1
SI_24w_embryo1_56	SI	24w	embryo1
SI_24w_embryo1_58_V	SI	24w	embryo1
SI_24w_embryo1_59_V	SI	24w	embryo1
SI_24w_embryo1_61_V	SI	24w	embryo1
SI_24w_embryo1_63	SI	24w	embryo1
SI_24w_embryo1_67	SI	24w	embryo1
SI_24w_embryo1_73_V	SI	24w	embryo1
SI_24w_embryo1_79	SI	24w	embryo1
SI_24w_embryo1_8_V	SI	24w	embryo1
SI_24w_embryo1_84_V	SI	24w	embryo1
SI_25w_embryo1_11_V	SI	25w	embryo1
SI_25w_embryo1_14_V	SI	25w	embryo1
SI_25w_embryo1_2_V	SI	25w	embryo1
SI_25w_embryo1_42_V	SI	25w	embryo1
SI_25w_embryo1_5_V	SI	25w	embryo1
SI_25w_embryo1_63_V	SI	25w	embryo1
SI_25w_embryo1_67_V	SI	25w	embryo1
SI_25w_embryo1_68_V	SI	25w	embryo1
SI_25w_embryo1_77_V	SI	25w	embryo1
esophagus_21w_embryo1_1	esophagus	21w	embryo1
esophagus_21w_embryo1_10	esophagus	21w	embryo1
esophagus_21w_embryo1_11	esophagus	21w	embryo1
esophagus_21w_embryo1_12	esophagus	21w	embryo1
esophagus_21w_embryo1_13	esophagus	21w	embryo1
esophagus_21w_embryo1_14	esophagus	21w	embryo1
esophagus_21w_embryo1_15	esophagus	21w	embryo1
esophagus_21w_embryo1_16	esophagus	21w	embryo1
esophagus_21w_embryo1_17	esophagus	21w	embryo1
esophagus_21w_embryo1_18	esophagus	21w	embryo1
esophagus_21w_embryo1_19	esophagus	21w	embryo1
esophagus_21w_embryo1_2	esophagus	21w	embryo1
esophagus_21w_embryo1_20	esophagus	21w	embryo1
esophagus_21w_embryo1_22	esophagus	21w	embryo1
esophagus_21w_embryo1_24	esophagus	21w	embryo1
esophagus_21w_embryo1_25	esophagus	21w	embryo1
esophagus_21w_embryo1_26	esophagus	21w	embryo1
esophagus_21w_embryo1_27	esophagus	21w	embryo1
esophagus_21w_embryo1_28	esophagus	21w	embryo1
esophagus_21w_embryo1_29	esophagus	21w	embryo1
esophagus_21w_embryo1_3	esophagus	21w	embryo1
esophagus_21w_embryo1_30	esophagus	21w	embryo1
esophagus_21w_embryo1_32	esophagus	21w	embryo1
esophagus_21w_embryo1_33	esophagus	21w	embryo1
esophagus_21w_embryo1_35	esophagus	21w	embryo1
esophagus_21w_embryo1_36	esophagus	21w	embryo1
esophagus_21w_embryo1_37	esophagus	21w	embryo1
esophagus_21w_embryo1_38	esophagus	21w	embryo1
esophagus_21w_embryo1_39	esophagus	21w	embryo1
esophagus_21w_embryo1_4	esophagus	21w	embryo1
esophagus_21w_embryo1_40	esophagus	21w	embryo1
esophagus_21w_embryo1_41	esophagus	21w	embryo1
esophagus_21w_embryo1_42	esophagus	21w	embryo1
esophagus_21w_embryo1_43	esophagus	21w	embryo1
esophagus_21w_embryo1_44	esophagus	21w	embryo1
esophagus_21w_embryo1_45	esophagus	21w	embryo1
esophagus_21w_embryo1_47	esophagus	21w	embryo1
esophagus_21w_embryo1_48	esophagus	21w	embryo1
esophagus_21w_embryo1_49	esophagus	21w	embryo1
esophagus_21w_embryo1_5	esophagus	21w	embryo1
esophagus_21w_embryo1_50	esophagus	21w	embryo1
esophagus_21w_embryo1_6	esophagus	21w	embryo1
esophagus_21w_embryo1_8	esophagus	21w	embryo1
LI_24w_embryo1_1	LI	24w	embryo1
LI_24w_embryo1_10	LI	24w	embryo1
LI_24w_embryo1_12	LI	24w	embryo1
LI_24w_embryo1_13	LI	24w	embryo1
LI_24w_embryo1_15	LI	24w	embryo1
LI_24w_embryo1_16	LI	24w	embryo1
LI_24w_embryo1_17	LI	24w	embryo1
LI_24w_embryo1_19	LI	24w	embryo1
LI_24w_embryo1_2	LI	24w	embryo1
LI_24w_embryo1_20	LI	24w	embryo1
LI_24w_embryo1_22	LI	24w	embryo1
LI_24w_embryo1_24	LI	24w	embryo1
LI_24w_embryo1_25	LI	24w	embryo1
LI_24w_embryo1_26	LI	24w	embryo1
LI_24w_embryo1_27	LI	24w	embryo1
LI_24w_embryo1_28	LI	24w	embryo1
LI_24w_embryo1_29	LI	24w	embryo1
LI_24w_embryo1_3	LI	24w	embryo1
LI_24w_embryo1_30	LI	24w	embryo1
LI_24w_embryo1_33	LI	24w	embryo1
LI_24w_embryo1_35	LI	24w	embryo1
LI_24w_embryo1_36	LI	24w	embryo1
LI_24w_embryo1_37	LI	24w	embryo1
LI_24w_embryo1_38	LI	24w	embryo1
LI_24w_embryo1_4	LI	24w	embryo1
LI_24w_embryo1_40	LI	24w	embryo1
LI_24w_embryo1_41	LI	24w	embryo1
LI_24w_embryo1_42	LI	24w	embryo1
LI_24w_embryo1_43	LI	24w	embryo1
LI_24w_embryo1_44	LI	24w	embryo1
LI_24w_embryo1_45	LI	24w	embryo1
LI_24w_embryo1_46	LI	24w	embryo1
LI_24w_embryo1_47	LI	24w	embryo1
LI_24w_embryo1_48	LI	24w	embryo1
LI_24w_embryo1_49	LI	24w	embryo1
LI_24w_embryo1_5	LI	24w	embryo1
LI_24w_embryo1_50	LI	24w	embryo1
LI_24w_embryo1_6	LI	24w	embryo1
LI_24w_embryo1_7	LI	24w	embryo1
LI_24w_embryo1_8	LI	24w	embryo1
LI_24w_embryo1_9	LI	24w	embryo1
SI_14w_embryo1_1	SI	14w	embryo1
SI_14w_embryo1_12	SI	14w	embryo1
SI_14w_embryo1_13	SI	14w	embryo1
SI_14w_embryo1_14	SI	14w	embryo1
SI_14w_embryo1_15	SI	14w	embryo1
SI_14w_embryo1_16	SI	14w	embryo1
SI_14w_embryo1_18	SI	14w	embryo1
SI_14w_embryo1_19	SI	14w	embryo1
SI_14w_embryo1_2	SI	14w	embryo1
SI_14w_embryo1_22	SI	14w	embryo1
SI_14w_embryo1_24	SI	14w	embryo1
SI_14w_embryo1_26	SI	14w	embryo1
SI_14w_embryo1_27	SI	14w	embryo1
SI_14w_embryo1_29	SI	14w	embryo1
SI_14w_embryo1_30	SI	14w	embryo1
SI_14w_embryo1_31	SI	14w	embryo1
SI_14w_embryo1_33	SI	14w	embryo1
SI_14w_embryo1_35	SI	14w	embryo1
SI_14w_embryo1_36	SI	14w	embryo1
SI_14w_embryo1_37	SI	14w	embryo1
SI_14w_embryo1_39	SI	14w	embryo1
SI_14w_embryo1_4	SI	14w	embryo1
SI_14w_embryo1_40	SI	14w	embryo1
SI_14w_embryo1_42	SI	14w	embryo1
SI_14w_embryo1_48	SI	14w	embryo1
SI_14w_embryo1_49	SI	14w	embryo1
SI_14w_embryo1_50	SI	14w	embryo1
SI_14w_embryo1_51	SI	14w	embryo1
SI_14w_embryo1_52	SI	14w	embryo1
SI_14w_embryo1_53	SI	14w	embryo1
SI_14w_embryo1_54	SI	14w	embryo1
SI_14w_embryo1_55	SI	14w	embryo1
SI_14w_embryo1_56	SI	14w	embryo1
SI_14w_embryo1_59	SI	14w	embryo1
SI_14w_embryo1_6	SI	14w	embryo1
SI_14w_embryo1_60	SI	14w	embryo1
SI_14w_embryo1_61	SI	14w	embryo1
SI_14w_embryo1_62	SI	14w	embryo1
SI_14w_embryo1_63	SI	14w	embryo1
SI_14w_embryo1_64	SI	14w	embryo1
SI_14w_embryo1_65	SI	14w	embryo1
SI_14w_embryo1_67	SI	14w	embryo1
SI_14w_embryo1_69	SI	14w	embryo1
SI_14w_embryo1_70	SI	14w	embryo1
SI_14w_embryo1_72	SI	14w	embryo1
SI_14w_embryo1_74	SI	14w	embryo1
SI_14w_embryo1_75	SI	14w	embryo1
SI_14w_embryo1_80	SI	14w	embryo1
SI_14w_embryo1_81	SI	14w	embryo1
SI_14w_embryo1_82	SI	14w	embryo1
SI_14w_embryo1_83	SI	14w	embryo1
SI_14w_embryo1_86	SI	14w	embryo1
SI_14w_embryo1_88	SI	14w	embryo1
SI_14w_embryo1_90	SI	14w	embryo1
LI_9w_embryo1_43	LI	9w	embryo1
LI_9w_embryo1_44	LI	9w	embryo1
LI_9w_embryo1_45	LI	9w	embryo1
LI_9w_embryo1_46	LI	9w	embryo1
LI_9w_embryo1_47	LI	9w	embryo1
LI_9w_embryo1_48	LI	9w	embryo1
LI_9w_embryo1_49	LI	9w	embryo1
LI_9w_embryo1_50	LI	9w	embryo1
LI_9w_embryo1_51	LI	9w	embryo1
LI_9w_embryo1_52	LI	9w	embryo1
LI_9w_embryo1_53	LI	9w	embryo1
LI_9w_embryo1_54	LI	9w	embryo1
LI_9w_embryo1_55	LI	9w	embryo1
LI_9w_embryo1_56	LI	9w	embryo1
LI_9w_embryo1_57	LI	9w	embryo1
LI_9w_embryo1_58	LI	9w	embryo1
LI_9w_embryo1_59	LI	9w	embryo1
LI_9w_embryo1_60	LI	9w	embryo1
LI_9w_embryo1_61	LI	9w	embryo1
LI_9w_embryo1_62	LI	9w	embryo1
LI_9w_embryo1_63	LI	9w	embryo1
LI_9w_embryo1_64	LI	9w	embryo1
LI_9w_embryo1_65	LI	9w	embryo1
LI_9w_embryo1_66	LI	9w	embryo1
LI_9w_embryo1_68	LI	9w	embryo1
LI_9w_embryo1_70	LI	9w	embryo1
LI_9w_embryo1_71	LI	9w	embryo1
LI_9w_embryo1_72	LI	9w	embryo1
LI_9w_embryo1_75	LI	9w	embryo1
LI_9w_embryo1_76	LI	9w	embryo1
LI_9w_embryo1_77	LI	9w	embryo1
LI_9w_embryo1_78	LI	9w	embryo1
LI_9w_embryo1_79	LI	9w	embryo1
LI_9w_embryo1_80	LI	9w	embryo1
LI_9w_embryo1_83	LI	9w	embryo1
LI_9w_embryo1_84	LI	9w	embryo1
LI_9w_embryo1_85	LI	9w	embryo1
LI_9w_embryo1_86	LI	9w	embryo1
LI_9w_embryo1_88	LI	9w	embryo1
LI_9w_embryo1_89	LI	9w	embryo1
LI_9w_embryo1_90	LI	9w	embryo1
LI_11w_embryo1_1	LI	11w	embryo1
LI_11w_embryo1_11	LI	11w	embryo1
LI_11w_embryo1_12	LI	11w	embryo1
LI_11w_embryo1_13	LI	11w	embryo1
LI_11w_embryo1_14	LI	11w	embryo1
LI_11w_embryo1_15	LI	11w	embryo1
LI_11w_embryo1_16	LI	11w	embryo1
LI_11w_embryo1_17	LI	11w	embryo1
LI_11w_embryo1_2	LI	11w	embryo1
LI_11w_embryo1_20	LI	11w	embryo1
LI_11w_embryo1_27	LI	11w	embryo1
LI_11w_embryo1_3	LI	11w	embryo1
LI_11w_embryo1_35	LI	11w	embryo1
LI_11w_embryo1_5	LI	11w	embryo1
LI_11w_embryo1_6	LI	11w	embryo1
LI_11w_embryo1_62	LI	11w	embryo1
LI_11w_embryo1_7	LI	11w	embryo1
LI_11w_embryo1_75	LI	11w	embryo1
LI_11w_embryo1_8	LI	11w	embryo1
LI_11w_embryo1_83	LI	11w	embryo1
LI_11w_embryo1_86	LI	11w	embryo1
LI_14w_embryo1_1	LI	14w	embryo1
LI_14w_embryo1_10	LI	14w	embryo1
LI_14w_embryo1_13	LI	14w	embryo1
LI_14w_embryo1_15	LI	14w	embryo1
LI_14w_embryo1_18	LI	14w	embryo1
LI_14w_embryo1_2	LI	14w	embryo1
LI_14w_embryo1_22	LI	14w	embryo1
LI_14w_embryo1_24	LI	14w	embryo1
LI_14w_embryo1_28	LI	14w	embryo1
LI_14w_embryo1_3	LI	14w	embryo1
LI_14w_embryo1_35	LI	14w	embryo1
LI_14w_embryo1_38	LI	14w	embryo1
LI_14w_embryo1_39	LI	14w	embryo1
LI_14w_embryo1_4	LI	14w	embryo1
LI_14w_embryo1_47	LI	14w	embryo1
LI_14w_embryo1_49	LI	14w	embryo1
LI_14w_embryo1_51	LI	14w	embryo1
LI_14w_embryo1_53	LI	14w	embryo1
LI_14w_embryo1_55	LI	14w	embryo1
LI_14w_embryo1_59	LI	14w	embryo1
LI_14w_embryo1_60	LI	14w	embryo1
LI_14w_embryo1_61	LI	14w	embryo1
LI_14w_embryo1_62	LI	14w	embryo1
LI_14w_embryo1_63	LI	14w	embryo1
LI_14w_embryo1_64	LI	14w	embryo1
LI_14w_embryo1_65	LI	14w	embryo1
LI_14w_embryo1_66	LI	14w	embryo1
LI_14w_embryo1_67	LI	14w	embryo1
LI_14w_embryo1_68	LI	14w	embryo1
LI_14w_embryo1_69	LI	14w	embryo1
LI_14w_embryo1_70	LI	14w	embryo1
LI_14w_embryo1_72	LI	14w	embryo1
LI_14w_embryo1_73	LI	14w	embryo1
LI_14w_embryo1_75	LI	14w	embryo1
LI_14w_embryo1_76	LI	14w	embryo1
LI_14w_embryo1_78	LI	14w	embryo1
LI_14w_embryo1_80	LI	14w	embryo1
LI_14w_embryo1_83	LI	14w	embryo1
LI_14w_embryo1_86	LI	14w	embryo1
LI_14w_embryo1_89	LI	14w	embryo1
LI_14w_embryo1_90	LI	14w	embryo1
LI_16w_embryo1_1	LI	16w	embryo1
LI_16w_embryo1_68	LI	16w	embryo1
LI_19w_embryo1_8	LI	19w	embryo1
LI_25w_embryo1_19	LI	25w	embryo1
LI_25w_embryo1_2	LI	25w	embryo1
LI_25w_embryo1_24	LI	25w	embryo1
LI_25w_embryo1_30	LI	25w	embryo1
LI_25w_embryo1_6	LI	25w	embryo1
LI_25w_embryo1_85	LI	25w	embryo1
LI_11w_embryo1_68	LI	11w	embryo1
LI_11w_embryo1_69	LI	11w	embryo1
LI_16w_embryo1_38	LI	16w	embryo1
LI_16w_embryo1_41	LI	16w	embryo1
LI_16w_embryo1_72	LI	16w	embryo1
LI_16w_embryo1_78	LI	16w	embryo1
LI_16w_embryo1_9	LI	16w	embryo1
LI_24w_embryo1_1_V	LI	24w	embryo1
LI_24w_embryo1_13_V	LI	24w	embryo1
LI_24w_embryo1_14_V	LI	24w	embryo1
LI_24w_embryo1_16_V	LI	24w	embryo1
LI_24w_embryo1_17_V	LI	24w	embryo1
LI_24w_embryo1_2_V	LI	24w	embryo1
LI_24w_embryo1_20_V	LI	24w	embryo1
LI_24w_embryo1_22_V	LI	24w	embryo1
LI_24w_embryo1_24_V	LI	24w	embryo1
LI_24w_embryo1_27_V	LI	24w	embryo1
LI_24w_embryo1_29_V	LI	24w	embryo1
LI_24w_embryo1_3_V	LI	24w	embryo1
LI_24w_embryo1_32_V	LI	24w	embryo1
LI_24w_embryo1_35_V	LI	24w	embryo1
LI_24w_embryo1_38_V	LI	24w	embryo1
LI_24w_embryo1_39_V	LI	24w	embryo1
LI_24w_embryo1_40_V	LI	24w	embryo1
LI_24w_embryo1_41_V	LI	24w	embryo1
LI_24w_embryo1_42_V	LI	24w	embryo1
LI_24w_embryo1_47_V	LI	24w	embryo1
LI_24w_embryo1_49_V	LI	24w	embryo1
LI_24w_embryo1_5_V	LI	24w	embryo1
LI_24w_embryo1_51_V	LI	24w	embryo1
LI_24w_embryo1_52_V	LI	24w	embryo1
LI_24w_embryo1_57_V	LI	24w	embryo1
LI_24w_embryo1_58_V	LI	24w	embryo1
LI_24w_embryo1_60_V	LI	24w	embryo1
LI_24w_embryo1_61_V	LI	24w	embryo1
